idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2015-01-01 22:00:00,19117,1.55902,1.55973,1.53288,1.53304,1.55756,1.55833,1.53241,1.53252,1.55829,1.55873,1.53272,1.53278
1,2015-01-04 22:00:00,20386,1.531,1.53213,1.51739,1.52535,1.5299,1.53184,1.51539,1.52476,1.53045,1.53196,1.51639,1.52506
2,2015-01-05 22:00:00,19465,1.52562,1.52747,1.51427,1.51537,1.52481,1.52731,1.51407,1.51497,1.52522,1.52739,1.51417,1.51517
3,2015-01-06 22:00:00,25531,1.51537,1.51568,1.50558,1.5114,1.51497,1.51548,1.50537,1.51096,1.51517,1.51558,1.50548,1.51118
4,2015-01-07 22:00:00,16884,1.51129,1.51185,1.50356,1.50931,1.51085,1.51167,1.50334,1.50875,1.51107,1.51176,1.50345,1.50903
5,2015-01-08 22:00:00,25269,1.50909,1.5186,1.50787,1.51653,1.50827,1.51698,1.50757,1.51499,1.50868,1.51774,1.50774,1.51576
6,2015-01-11 22:00:00,15896,1.51826,1.51964,1.50998,1.51738,1.51718,1.51923,1.50981,1.51675,1.51772,1.51939,1.5099,1.51706
7,2015-01-12 22:00:00,19726,1.51733,1.5193,1.50786,1.51629,1.5168,1.51912,1.50766,1.51577,1.51706,1.51921,1.50776,1.51603
8,2015-01-13 22:00:00,23643,1.51624,1.52711,1.51466,1.52366,1.51582,1.52684,1.51443,1.52317,1.51603,1.52696,1.51456,1.52342
9,2015-01-14 22:00:00,87200,1.52406,1.527,1.5151,1.51915,1.52316,1.52656,1.51486,1.51775,1.52361,1.52671,1.51498,1.51845
11,2015-01-15 22:00:00,43094,1.51921,1.52365,1.50762,1.51549,1.51771,1.52337,1.50739,1.51349,1.51846,1.52348,1.5075,1.51449
12,2015-01-18 22:00:00,19533,1.51416,1.51806,1.51098,1.51156,1.51216,1.51783,1.51062,1.5108,1.51316,1.51794,1.51084,1.51118
13,2015-01-19 22:00:00,16997,1.51151,1.52007,1.50589,1.51485,1.51085,1.51988,1.50558,1.51395,1.51118,1.51998,1.50574,1.5144
14,2015-01-20 22:00:00,28403,1.51463,1.51819,1.50789,1.51465,1.51376,1.5178,1.50709,1.51406,1.5142,1.518,1.50758,1.51436
15,2015-01-21 22:00:00,43660,1.51454,1.52143,1.49738,1.50149,1.51333,1.52117,1.49711,1.50075,1.51394,1.5213,1.49726,1.50112
16,2015-01-22 22:00:00,41001,1.50159,1.50376,1.49523,1.49996,1.50065,1.50351,1.49502,1.49796,1.50112,1.50363,1.49512,1.49896
17,2015-01-25 22:00:00,35096,1.50184,1.51051,1.49894,1.50838,1.50081,1.51024,1.49854,1.5077,1.50132,1.51038,1.49876,1.50804
18,2015-01-26 22:00:00,28660,1.50819,1.52249,1.50609,1.52005,1.50619,1.52224,1.50541,1.51946,1.50719,1.52236,1.50599,1.51976
19,2015-01-27 22:00:00,31327,1.52005,1.52204,1.51326,1.51426,1.51946,1.52182,1.51298,1.51328,1.51976,1.52193,1.51312,1.51377
20,2015-01-28 22:00:00,21295,1.51446,1.51638,1.50205,1.50698,1.51392,1.51614,1.50164,1.50652,1.51419,1.51626,1.50187,1.50675
21,2015-02-01 22:00:00,25797,1.51035,1.51128,1.5007,1.50413,1.50884,1.50928,1.50047,1.50356,1.5096,1.51028,1.5006,1.50384
22,2015-02-02 22:00:00,31935,1.5049,1.51993,1.499,1.51678,1.50352,1.51972,1.49877,1.51642,1.50421,1.51982,1.49888,1.5166
23,2015-02-03 22:00:00,26726,1.51692,1.5252,1.51402,1.51859,1.51651,1.52501,1.51376,1.51777,1.51672,1.5251,1.5139,1.51818
24,2015-02-04 22:00:00,25585,1.51839,1.53454,1.51697,1.53319,1.51749,1.53426,1.51642,1.53266,1.51794,1.53436,1.5167,1.53292
25,2015-02-05 22:00:00,24651,1.53301,1.53533,1.52123,1.52502,1.53241,1.53513,1.52102,1.52352,1.53271,1.53522,1.52112,1.52427
26,2015-02-08 22:00:00,18776,1.52347,1.52685,1.52025,1.52176,1.52224,1.52666,1.51992,1.52103,1.52286,1.52676,1.52008,1.5214
27,2015-02-09 22:00:00,17896,1.52171,1.52768,1.51982,1.52569,1.52108,1.52744,1.5195,1.52515,1.5214,1.52756,1.51968,1.52542
28,2015-02-10 22:00:00,19377,1.52556,1.53007,1.522,1.52426,1.52503,1.52989,1.52184,1.52336,1.5253,1.52998,1.52192,1.52381
29,2015-02-11 22:00:00,31416,1.52382,1.54164,1.52103,1.53873,1.52292,1.54139,1.52077,1.53821,1.52337,1.54152,1.52093,1.53847
30,2015-02-12 22:00:00,18572,1.53873,1.54232,1.53723,1.54067,1.53819,1.54215,1.53702,1.53867,1.53846,1.54224,1.53712,1.53967
31,2015-02-15 22:00:00,31965,1.54332,1.54421,1.5341,1.53672,1.5421,1.54394,1.53383,1.53582,1.54271,1.54406,1.53396,1.53627
32,2015-02-16 22:00:00,18550,1.53693,1.54038,1.53172,1.53566,1.53603,1.54019,1.53154,1.53511,1.53648,1.54028,1.53163,1.53538
33,2015-02-17 22:00:00,22779,1.53533,1.54814,1.53428,1.54381,1.53458,1.54786,1.53409,1.54338,1.53496,1.548,1.53419,1.5436
34,2015-02-18 22:00:00,17256,1.5439,1.54663,1.54051,1.54176,1.54347,1.54643,1.5403,1.54109,1.54368,1.54653,1.5404,1.54142
35,2015-02-19 22:00:00,23904,1.54157,1.54351,1.53446,1.54083,1.54101,1.5433,1.53424,1.53883,1.54129,1.5434,1.53435,1.53983
36,2015-02-22 22:00:00,15183,1.54036,1.54757,1.53334,1.54598,1.53899,1.54738,1.53318,1.54548,1.53968,1.54748,1.53326,1.54573
37,2015-02-23 22:00:00,20102,1.54593,1.54754,1.54033,1.54603,1.54553,1.54734,1.54007,1.54516,1.54573,1.54744,1.54024,1.5456
38,2015-02-24 22:00:00,15962,1.54576,1.55399,1.54489,1.55307,1.54487,1.55378,1.54451,1.55256,1.54532,1.55388,1.54471,1.55282
39,2015-02-25 22:00:00,19825,1.55302,1.55536,1.53957,1.54093,1.55261,1.55512,1.53936,1.54045,1.55282,1.55522,1.53946,1.54069
40,2015-02-26 22:00:00,19081,1.54086,1.54609,1.53855,1.5447,1.54016,1.5458,1.53833,1.5427,1.54051,1.54588,1.53844,1.5437
41,2015-03-01 22:00:00,14372,1.54308,1.54353,1.53526,1.53666,1.54141,1.54275,1.5351,1.53618,1.54224,1.54296,1.53518,1.53642
42,2015-03-02 22:00:00,11048,1.53656,1.53985,1.53457,1.53651,1.53628,1.53968,1.53441,1.53585,1.53642,1.53976,1.53449,1.53618
43,2015-03-03 22:00:00,15757,1.53654,1.53731,1.52534,1.5268,1.53564,1.53711,1.52511,1.52627,1.53609,1.53721,1.52522,1.52654
44,2015-03-04 22:00:00,28553,1.5269,1.52709,1.52163,1.52425,1.526,1.52688,1.52144,1.52368,1.52645,1.52698,1.52154,1.52396
45,2015-03-05 22:00:00,43222,1.5243,1.5259,1.50334,1.50486,1.52363,1.52542,1.50266,1.50286,1.52396,1.52565,1.50324,1.50386
46,2015-03-07 22:00:00,494,1.5051,1.50526,1.50389,1.50412,1.5031,1.5037,1.50243,1.50352,1.5041,1.50426,1.50331,1.50382
47,2015-03-08 22:00:00,30022,1.50401,1.51382,1.50349,1.51315,1.50341,1.51365,1.50318,1.51268,1.50371,1.51374,1.50335,1.51292
48,2015-03-09 22:00:00,50485,1.51316,1.5132,1.503,1.5056,1.51267,1.51278,1.50277,1.50525,1.51292,1.51296,1.50288,1.50542
49,2015-03-10 22:00:00,60309,1.50571,1.50975,1.48944,1.49313,1.50522,1.50958,1.48924,1.49258,1.50546,1.50966,1.48934,1.49286
50,2015-03-11 22:00:00,60598,1.4932,1.503,1.48514,1.48893,1.49265,1.50244,1.48494,1.48835,1.49292,1.50272,1.48504,1.48864
51,2015-03-12 22:00:00,52524,1.48894,1.48983,1.47004,1.47507,1.48804,1.48956,1.46982,1.47381,1.48849,1.4897,1.46993,1.47444
52,2015-03-14 22:00:00,308,1.47556,1.47605,1.47362,1.47435,1.47356,1.47405,1.47275,1.4734,1.47456,1.47505,1.47332,1.47388
54,2015-03-15 22:00:00,40544,1.47417,1.48548,1.47395,1.48283,1.47365,1.48527,1.4735,1.4824,1.47391,1.48538,1.47372,1.48262
55,2015-03-16 22:00:00,41811,1.48283,1.48472,1.47251,1.47471,1.48238,1.48445,1.47233,1.47409,1.4826,1.48458,1.47242,1.4744
56,2015-03-17 22:00:00,83580,1.47471,1.5179,1.46361,1.4961,1.4741,1.5159,1.46339,1.49555,1.4744,1.5169,1.4635,1.49582
57,2015-03-18 22:00:00,105434,1.49601,1.50119,1.469,1.47579,1.49544,1.50089,1.4687,1.47528,1.49572,1.50102,1.46886,1.47554
58,2015-03-19 22:00:00,70791,1.47567,1.49902,1.47232,1.49646,1.47526,1.49882,1.47213,1.49446,1.47546,1.49892,1.47222,1.49546
59,2015-03-21 22:00:00,762,1.49775,1.49924,1.49715,1.49777,1.49674,1.49876,1.49636,1.49689,1.49724,1.499,1.49684,1.49733
60,2015-03-22 22:00:00,80972,1.49762,1.49779,1.484,1.49571,1.49676,1.49724,1.48377,1.49522,1.49719,1.4974,1.48388,1.49546
61,2015-03-23 22:00:00,74405,1.49564,1.49865,1.48441,1.48476,1.49535,1.49832,1.48415,1.48432,1.4955,1.49848,1.4843,1.48454
62,2015-03-24 22:00:00,62135,1.48487,1.49559,1.48322,1.48891,1.4843,1.49533,1.48296,1.48828,1.48458,1.49546,1.4831,1.4886
63,2015-03-25 22:00:00,66944,1.48879,1.49955,1.48081,1.48534,1.48822,1.49934,1.48054,1.48487,1.4885,1.49944,1.48069,1.4851
64,2015-03-26 22:00:00,68964,1.48541,1.49235,1.47979,1.48877,1.48493,1.4921,1.47954,1.48677,1.48517,1.49222,1.47968,1.48777
65,2015-03-31 21:00:00,63536,1.48251,1.48727,1.47406,1.48248,1.48163,1.48706,1.47384,1.48215,1.48207,1.48716,1.47396,1.48232
66,2015-04-01 21:00:00,54630,1.48289,1.48701,1.47779,1.48297,1.48199,1.48672,1.47748,1.48265,1.48244,1.48686,1.47765,1.48281
67,2015-04-02 21:00:00,38644,1.48293,1.4947,1.48119,1.49283,1.48256,1.49439,1.48086,1.49083,1.48274,1.49454,1.48102,1.49183
68,2015-04-05 21:00:00,27973,1.49271,1.49823,1.48724,1.48853,1.49071,1.49805,1.48693,1.4878,1.49171,1.49814,1.4871,1.48816
69,2015-04-06 21:00:00,53263,1.48847,1.49237,1.48042,1.481,1.48757,1.49195,1.4802,1.4805,1.48802,1.49207,1.48032,1.48075
70,2015-04-07 21:00:00,61340,1.48095,1.49739,1.48095,1.48691,1.48055,1.49716,1.48033,1.48645,1.48075,1.49728,1.48075,1.48668
71,2015-04-08 21:00:00,49346,1.48686,1.48875,1.46855,1.47149,1.4865,1.48855,1.46834,1.47109,1.48668,1.48864,1.46844,1.47129
72,2015-04-09 21:00:00,55756,1.47132,1.47263,1.45887,1.46352,1.47103,1.47239,1.45861,1.46283,1.47118,1.4725,1.45874,1.46318
73,2015-04-12 21:00:00,56632,1.46286,1.46825,1.45672,1.46769,1.4613,1.46806,1.45646,1.46734,1.46208,1.46814,1.45659,1.46752
74,2015-04-13 21:00:00,62988,1.46802,1.48028,1.46045,1.47847,1.46718,1.48005,1.46021,1.47798,1.4676,1.48016,1.46033,1.47822
