idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2015-01-01 22:00:00,159172,4238.8,4276.2,4204.5,4218.8,4238.0,4275.5,4203.9,4218.2,4238.4,4275.8,4204.2,4218.5
1,2015-01-04 22:00:00,210911,4218.2,4224.1,4148.3,4169.3,4217.1,4223.4,4147.7,4168.7,4217.6,4223.7,4148.0,4169.0
2,2015-01-05 22:00:00,278840,4169.5,4175.4,4085.5,4102.9,4168.7,4174.8,4084.6,4102.3,4169.1,4175.1,4085.2,4102.6
3,2015-01-06 22:00:00,211981,4103.2,4166.6,4101.8,4156.0,4102.4,4165.9,4100.8,4155.4,4102.8,4166.2,4101.4,4155.7
4,2015-01-07 22:00:00,135416,4156.2,4245.8,4155.3,4233.9,4155.4,4245.2,4154.6,4233.3,4155.8,4245.5,4155.0,4233.6
5,2015-01-08 22:00:00,193218,4234.2,4255.8,4184.2,4204.8,4233.4,4255.0,4183.6,4204.2,4233.8,4255.4,4183.9,4204.5
6,2015-01-11 22:00:00,182741,4206.8,4230.4,4154.1,4172.3,4205.5,4229.8,4153.4,4171.5,4206.2,4230.1,4153.8,4171.9
7,2015-01-12 22:00:00,238343,4172.5,4250.9,4129.6,4167.5,4171.4,4250.1,4128.9,4166.9,4172.0,4250.5,4129.3,4167.2
8,2015-01-13 22:00:00,305423,4167.7,4172.1,4103.3,4152.8,4166.9,4171.4,4102.7,4152.0,4167.3,4171.7,4103.0,4152.4
9,2015-01-14 22:00:00,338156,4152.9,4193.0,4080.9,4082.1,4151.8,4192.4,4079.9,4081.0,4152.4,4192.7,4080.6,4081.6
11,2015-01-15 22:00:00,231762,4081.8,4139.9,4044.4,4135.5,4081.2,4139.3,4043.7,4134.9,4081.5,4139.6,4044.1,4135.2
12,2015-01-18 22:00:00,60142,4140.3,4157.6,4115.8,4129.8,4138.7,4157.0,4115.1,4128.2,4139.5,4157.3,4115.5,4129.0
13,2015-01-19 22:00:00,205795,4131.0,4177.8,4111.7,4168.3,4129.4,4177.1,4111.1,4167.5,4130.2,4177.4,4111.4,4167.9
14,2015-01-20 22:00:00,221124,4168.2,4208.0,4139.4,4187.2,4167.6,4207.4,4138.8,4186.4,4167.9,4207.7,4139.1,4186.8
15,2015-01-21 22:00:00,224557,4187.1,4271.5,4167.2,4271.5,4186.5,4270.9,4166.5,4270.9,4186.8,4271.2,4166.9,4271.2
16,2015-01-22 22:00:00,150953,4271.5,4288.7,4253.2,4271.3,4270.7,4288.1,4252.5,4270.5,4271.1,4288.4,4252.9,4270.9
17,2015-01-25 22:00:00,129497,4252.3,4280.8,4234.3,4271.3,4251.7,4280.2,4233.5,4270.7,4252.0,4280.5,4233.9,4271.0
18,2015-01-26 22:00:00,181555,4271.3,4273.5,4145.0,4212.2,4270.5,4272.7,4144.4,4211.1,4270.9,4273.1,4144.7,4211.6
19,2015-01-27 22:00:00,238053,4211.7,4237.0,4121.9,4127.9,4210.9,4236.2,4121.0,4127.3,4211.3,4236.6,4121.6,4127.6
20,2015-01-28 22:00:00,228424,4128.1,4199.6,4098.1,4198.4,4127.3,4199.0,4097.3,4197.3,4127.7,4199.3,4097.7,4197.8
21,2015-01-29 22:00:00,232392,4198.4,4210.4,4138.3,4147.8,4197.6,4209.1,4137.7,4146.7,4198.0,4209.6,4138.0,4147.2
22,2015-02-01 22:00:00,262467,4149.0,4190.0,4087.8,4184.1,4146.7,4189.4,4087.1,4183.3,4147.8,4189.7,4087.5,4183.7
23,2015-02-02 22:00:00,197530,4184.0,4224.9,4167.9,4214.6,4183.4,4224.2,4167.3,4213.8,4183.7,4224.5,4167.6,4214.2
24,2015-02-03 22:00:00,191692,4214.6,4245.0,4190.0,4194.7,4214.0,4244.2,4188.9,4193.9,4214.3,4244.6,4189.6,4194.3
25,2015-02-04 22:00:00,146292,4194.7,4256.7,4183.7,4255.0,4193.6,4256.0,4182.7,4254.2,4194.2,4256.3,4183.2,4254.6
26,2015-02-05 22:00:00,149988,4255.1,4270.4,4211.9,4231.5,4254.5,4269.8,4211.2,4230.7,4254.8,4270.1,4211.6,4231.1
27,2015-02-08 22:00:00,152360,4221.7,4233.8,4203.5,4219.0,4220.4,4233.1,4202.8,4217.9,4221.0,4233.4,4203.2,4218.4
28,2015-02-09 22:00:00,127146,4218.9,4285.7,4213.0,4280.5,4218.1,4285.1,4212.3,4279.4,4218.5,4285.4,4212.7,4280.0
29,2015-02-10 22:00:00,123670,4280.4,4323.7,4272.9,4314.7,4279.6,4323.1,4272.3,4313.1,4280.0,4323.4,4272.6,4313.9
30,2015-02-11 22:00:00,133134,4314.6,4347.9,4287.9,4344.7,4313.3,4347.2,4287.0,4344.1,4314.0,4347.5,4287.5,4344.4
31,2015-02-12 22:00:00,84302,4344.9,4383.6,4342.6,4379.0,4344.1,4383.0,4341.9,4378.4,4344.5,4383.3,4342.3,4378.7
32,2015-02-15 22:00:00,20038,4376.8,4389.8,4371.1,4376.5,4375.7,4389.1,4370.3,4375.7,4376.2,4389.4,4370.8,4376.1
33,2015-02-16 22:00:00,89844,4370.5,4389.5,4366.4,4386.7,4366.4,4388.8,4365.7,4385.6,4368.4,4389.1,4366.1,4386.2
34,2015-02-17 22:00:00,76771,4386.7,4395.2,4375.5,4390.6,4385.4,4394.4,4374.8,4390.0,4386.0,4394.8,4375.2,4390.3
35,2015-02-18 22:00:00,80769,4390.8,4418.6,4377.3,4418.6,4390.0,4417.8,4376.6,4417.8,4390.4,4418.2,4377.0,4418.2
36,2015-02-19 22:00:00,112714,4418.7,4446.4,4397.6,4440.1,4417.6,4445.7,4396.9,4439.5,4418.2,4446.0,4397.3,4439.8
37,2015-02-22 22:00:00,68707,4441.1,4450.6,4431.2,4447.5,4440.3,4449.9,4430.4,4446.9,4440.7,4450.2,4430.8,4447.2
38,2015-02-23 22:00:00,73215,4447.6,4456.8,4428.5,4451.7,4446.8,4456.0,4427.7,4451.1,4447.2,4456.3,4428.2,4451.4
39,2015-02-24 22:00:00,85579,4451.8,4462.3,4430.7,4439.3,4451.0,4461.5,4430.1,4438.7,4451.4,4461.9,4430.4,4439.0
40,2015-02-25 22:00:00,86691,4439.2,4465.8,4432.3,4464.1,4438.4,4465.2,4431.7,4463.3,4438.8,4465.5,4432.0,4463.7
41,2015-02-26 22:00:00,71268,4464.2,4464.2,4436.4,4447.1,4463.1,4463.4,4435.6,4446.5,4463.6,4463.8,4436.0,4446.8
42,2015-03-01 22:00:00,64819,4448.5,4484.4,4447.7,4479.5,4447.7,4483.7,4446.9,4478.9,4448.1,4484.0,4447.4,4479.2
43,2015-03-02 22:00:00,76380,4479.6,4480.4,4433.4,4458.8,4478.8,4479.8,4432.7,4458.0,4479.2,4480.1,4433.1,4458.4
44,2015-03-03 22:00:00,93261,4458.7,4459.0,4420.3,4444.5,4458.1,4458.3,4419.7,4443.9,4458.4,4458.6,4420.0,4444.2
45,2015-03-04 22:00:00,83592,4444.5,4465.8,4433.8,4451.3,4443.7,4465.2,4433.1,4450.5,4444.1,4465.5,4433.5,4450.9
46,2015-03-05 22:00:00,124658,4451.2,4461.4,4390.0,4406.3,4450.6,4460.0,4389.4,4405.7,4450.9,4460.6,4389.7,4406.0
47,2015-03-08 22:00:00,97288,4413.6,4425.5,4392.6,4416.0,4412.8,4424.9,4392.0,4415.2,4413.2,4425.2,4392.3,4415.6
48,2015-03-09 22:00:00,134966,4415.9,4416.6,4329.3,4334.8,4415.3,4415.9,4328.7,4334.2,4415.6,4416.2,4329.0,4334.5
49,2015-03-10 22:00:00,114137,4336.0,4348.1,4305.1,4313.3,4334.9,4347.4,4304.4,4312.7,4335.4,4347.7,4304.8,4313.0
50,2015-03-11 22:00:00,96691,4315.2,4340.0,4299.5,4332.7,4314.1,4339.4,4298.8,4331.6,4314.6,4339.7,4299.2,4332.2
51,2015-03-12 22:00:00,101344,4336.1,4348.0,4288.9,4310.2,4334.5,4347.3,4288.1,4309.4,4335.3,4347.6,4288.5,4309.8
52,2015-03-15 22:00:00,67302,4319.2,4372.8,4299.9,4358.9,4314.2,4372.1,4298.8,4357.6,4316.7,4372.4,4299.4,4358.2
53,2015-03-16 22:00:00,85403,4356.3,4384.8,4348.9,4377.9,4354.7,4384.1,4348.2,4377.3,4355.5,4384.4,4348.6,4377.6
54,2015-03-17 22:00:00,147366,4378.3,4441.5,4342.9,4429.5,4377.7,4440.9,4342.2,4428.9,4378.0,4441.2,4342.6,4429.2
55,2015-03-18 22:00:00,105672,4431.4,4442.2,4418.6,4426.7,4429.3,4441.2,4418.0,4426.1,4430.4,4441.6,4418.3,4426.4
56,2015-03-19 22:00:00,81849,4425.3,4479.3,4422.9,4455.1,4424.5,4478.7,4422.1,4454.3,4424.9,4479.0,4422.6,4454.7
57,2015-03-22 22:00:00,76019,4455.2,4468.3,4442.8,4443.7,4453.9,4467.5,4442.1,4443.1,4454.6,4467.8,4442.5,4443.4
58,2015-03-23 22:00:00,88290,4443.4,4467.8,4430.8,4436.2,4442.3,4467.1,4430.1,4435.6,4442.8,4467.4,4430.5,4435.9
59,2015-03-24 22:00:00,122399,4436.3,4445.0,4326.4,4333.6,4435.5,4444.3,4325.8,4333.0,4435.9,4444.6,4326.1,4333.3
60,2015-03-25 22:00:00,171444,4335.6,4337.3,4276.3,4319.7,4334.8,4336.7,4275.7,4318.9,4335.2,4337.0,4276.0,4319.3
61,2015-03-26 22:00:00,122920,4322.1,4340.0,4303.7,4329.7,4321.0,4339.3,4303.0,4329.1,4321.6,4339.6,4303.4,4329.4
62,2015-03-29 21:00:00,96266,4333.0,4387.8,4322.0,4376.8,4331.2,4387.1,4321.4,4376.2,4332.1,4387.4,4321.7,4376.5
63,2015-03-30 21:00:00,105493,4376.7,4381.9,4326.9,4329.4,4375.9,4381.2,4326.1,4328.6,4376.3,4381.5,4326.6,4329.0
64,2015-03-31 21:00:00,176998,4329.2,4340.4,4268.3,4320.1,4328.6,4339.6,4265.7,4319.5,4328.9,4339.9,4267.6,4319.8
66,2015-04-01 21:00:00,97880,4320.3,4327.0,4294.7,4315.0,4319.5,4326.2,4293.9,4314.4,4319.9,4326.6,4294.3,4314.7
67,2015-04-02 21:00:00,13367,4315.0,4319.6,4268.1,4269.5,4314.2,4318.8,4267.0,4268.2,4314.6,4319.2,4267.8,4268.8
