idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2015-01-01 22:00:00,2,4238.8,4238.8,4238.8,4238.8,4238.0,4238.0,4238.0,4238.0,4238.4,4238.4,4238.4,4238.4
1,2015-01-01 23:00:00,752,4245.8,4252.9,4245.4,4251.8,4244.7,4252.1,4244.6,4251.0,4245.2,4252.4,4245.1,4251.4
2,2015-01-02 00:00:00,377,4251.7,4252.5,4249.9,4252.1,4251.1,4251.8,4249.2,4251.5,4251.4,4252.1,4249.6,4251.8
3,2015-01-02 01:00:00,692,4252.2,4257.1,4252.0,4255.9,4251.4,4256.5,4251.2,4255.3,4251.8,4256.8,4251.6,4255.6
4,2015-01-02 02:00:00,526,4255.8,4258.6,4255.1,4257.7,4255.0,4257.9,4254.4,4257.1,4255.4,4258.2,4254.8,4257.4
5,2015-01-02 03:00:00,274,4258.0,4258.1,4255.3,4255.7,4257.2,4257.5,4254.7,4255.1,4257.6,4257.8,4255.0,4255.4
6,2015-01-02 04:00:00,321,4256.0,4259.4,4255.4,4259.0,4255.2,4258.8,4254.6,4258.4,4255.6,4259.1,4255.1,4258.7
7,2015-01-02 05:00:00,296,4259.2,4261.1,4257.4,4257.6,4258.4,4260.3,4256.5,4257.0,4258.8,4260.6,4257.0,4257.3
8,2015-01-02 06:00:00,342,4257.8,4260.8,4255.9,4260.8,4257.0,4260.1,4255.2,4260.0,4257.4,4260.4,4255.6,4260.4
9,2015-01-02 07:00:00,1945,4260.7,4266.3,4257.9,4262.0,4260.1,4265.5,4257.2,4261.2,4260.4,4265.8,4257.6,4261.6
10,2015-01-02 08:00:00,4476,4262.0,4263.5,4251.7,4252.1,4261.4,4262.8,4251.0,4251.5,4261.7,4263.1,4251.4,4251.8
11,2015-01-02 09:00:00,4026,4252.1,4256.8,4250.1,4252.5,4251.3,4256.1,4249.4,4251.9,4251.7,4256.4,4249.8,4252.2
12,2015-01-02 10:00:00,2054,4252.7,4257.6,4249.5,4254.8,4251.9,4256.9,4248.7,4254.2,4252.3,4257.2,4249.2,4254.5
13,2015-01-02 11:00:00,1521,4255.1,4256.6,4248.8,4249.8,4254.3,4255.9,4248.1,4249.0,4254.7,4256.2,4248.5,4249.4
14,2015-01-02 12:00:00,1367,4249.7,4257.6,4249.7,4255.7,4249.1,4256.9,4249.1,4254.9,4249.4,4257.2,4249.4,4255.3
15,2015-01-02 13:00:00,1971,4255.6,4258.6,4250.0,4258.0,4255.0,4257.7,4249.3,4257.4,4255.3,4258.1,4249.7,4257.7
16,2015-01-02 14:00:00,15488,4258.3,4276.2,4255.6,4262.3,4257.7,4275.5,4254.9,4261.5,4258.0,4275.8,4255.3,4261.9
17,2015-01-02 15:00:00,36241,4262.2,4263.4,4214.0,4225.4,4260.9,4262.5,4213.4,4224.8,4261.6,4262.9,4213.7,4225.1
18,2015-01-02 16:00:00,28643,4225.5,4226.5,4204.5,4220.7,4224.7,4225.9,4203.9,4219.9,4225.1,4226.2,4204.2,4220.3
19,2015-01-02 17:00:00,16115,4220.6,4229.0,4214.0,4216.3,4220.0,4228.4,4213.4,4215.7,4220.3,4228.7,4213.7,4216.0
20,2015-01-02 18:00:00,10337,4216.4,4219.8,4204.7,4215.7,4215.6,4219.1,4204.1,4215.1,4216.0,4219.4,4204.4,4215.4
