idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2015-01-01 22:00:00,32327,2058.3,2073.5,2045.0,2052.8,2057.8,2072.9,2044.5,2052.3,2058.0,2073.2,2044.8,2052.6
1,2015-01-04 22:00:00,37142,2051.4,2054.4,2015.5,2024.1,2050.9,2053.9,2014.9,2023.6,2051.2,2054.2,2015.2,2023.8
2,2015-01-05 22:00:00,54301,2024.3,2029.5,1990.2,2000.6,2023.6,2029.0,1989.6,2000.1,2024.0,2029.2,1990.0,2000.4
3,2015-01-06 22:00:00,45585,2000.6,2029.4,2000.4,2026.4,2000.1,2028.9,1999.8,2025.9,2000.4,2029.2,2000.2,2026.2
4,2015-01-07 22:00:00,28370,2026.5,2064.2,2026.1,2059.2,2025.8,2063.6,2025.6,2058.7,2026.2,2063.8,2025.8,2059.0
5,2015-01-08 22:00:00,36576,2059.5,2067.5,2037.0,2041.4,2059.0,2066.9,2036.5,2040.9,2059.2,2067.2,2036.8,2041.2
6,2015-01-11 22:00:00,29983,2041.5,2053.6,2020.7,2029.0,2041.0,2053.1,2020.2,2028.5,2041.2,2053.4,2020.4,2028.8
7,2015-01-12 22:00:00,40915,2029.0,2057.0,2006.4,2023.7,2028.5,2056.5,2005.8,2023.2,2028.8,2056.8,2006.2,2023.4
8,2015-01-13 22:00:00,76153,2024.0,2024.9,1986.3,2015.6,2023.5,2024.4,1985.7,2015.1,2023.8,2024.6,1986.0,2015.4
9,2015-01-14 22:00:00,101272,2015.3,2032.3,1988.7,1988.7,2014.8,2031.8,1988.1,1988.2,2015.0,2032.0,1988.4,1988.4
11,2015-01-15 22:00:00,50014,1989.0,2019.5,1975.4,2016.9,1988.5,2018.9,1974.8,2016.3,1988.8,2019.2,1975.2,2016.6
12,2015-01-18 22:00:00,16500,2018.5,2028.6,2007.9,2013.5,2017.7,2028.0,2007.4,2013.0,2018.1,2028.3,2007.6,2013.2
13,2015-01-19 22:00:00,30350,2013.7,2031.2,2002.3,2020.3,2013.2,2030.6,2001.8,2019.8,2013.4,2030.8,2002.0,2020.0
14,2015-01-20 22:00:00,38937,2020.6,2037.2,2010.0,2031.7,2020.1,2036.7,2009.5,2031.2,2020.4,2037.0,2009.8,2031.4
15,2015-01-21 22:00:00,58334,2031.4,2063.7,2024.0,2062.1,2030.9,2063.2,2023.4,2061.6,2031.2,2063.4,2023.8,2061.8
16,2015-01-22 22:00:00,28626,2062.2,2067.0,2048.7,2049.1,2061.5,2066.4,2048.1,2048.6,2061.8,2066.6,2048.4,2048.8
17,2015-01-25 22:00:00,24900,2039.7,2059.2,2030.0,2058.7,2039.0,2058.7,2029.4,2058.2,2039.4,2059.0,2029.8,2058.4
18,2015-01-26 22:00:00,33081,2059.0,2059.0,2017.3,2041.9,2058.5,2058.5,2016.8,2041.4,2058.8,2058.8,2017.0,2041.6
19,2015-01-27 22:00:00,56350,2041.6,2050.9,1995.5,1998.4,2041.1,2050.4,1994.9,1997.9,2041.4,2050.6,1995.2,1998.2
20,2015-01-28 22:00:00,46056,1998.7,2023.8,1986.2,2023.1,1998.2,2023.3,1985.7,2022.6,1998.4,2023.6,1986.0,2022.8
21,2015-01-29 22:00:00,53544,2023.4,2024.5,1990.3,1994.1,2022.9,2023.9,1989.7,1993.6,2023.2,2024.2,1990.0,1993.8
22,2015-02-01 22:00:00,45395,1995.0,2022.1,1977.6,2018.9,1994.3,2021.5,1977.1,2018.4,1994.6,2021.8,1977.4,2018.6
23,2015-02-02 22:00:00,31183,2019.3,2047.6,2010.7,2045.3,2018.8,2047.1,2010.2,2044.8,2019.0,2047.4,2010.4,2045.0
24,2015-02-03 22:00:00,38870,2045.0,2052.8,2026.5,2028.4,2044.5,2052.3,2025.9,2027.9,2044.8,2052.6,2026.2,2028.2
25,2015-02-04 22:00:00,40815,2028.4,2062.2,2024.4,2060.1,2027.7,2061.7,2023.9,2059.6,2028.0,2062.0,2024.2,2059.8
26,2015-02-05 22:00:00,38589,2060.1,2071.3,2048.2,2056.7,2059.4,2070.8,2047.6,2056.2,2059.8,2071.0,2048.0,2056.4
27,2015-02-08 22:00:00,45511,2051.2,2055.1,2039.7,2046.3,2050.7,2054.6,2039.2,2045.8,2051.0,2054.8,2039.4,2046.0
28,2015-02-09 22:00:00,41704,2046.3,2069.6,2043.8,2066.1,2045.6,2069.1,2043.3,2065.6,2046.0,2069.4,2043.6,2065.8
29,2015-02-10 22:00:00,39069,2066.2,2082.6,2056.5,2077.3,2065.5,2082.0,2055.9,2076.8,2065.8,2082.2,2056.2,2077.0
30,2015-02-11 22:00:00,40244,2077.5,2088.5,2061.7,2085.7,2076.8,2087.9,2061.2,2085.2,2077.2,2088.2,2061.4,2085.4
31,2015-02-12 22:00:00,26046,2085.7,2097.2,2084.7,2096.2,2085.2,2096.7,2084.1,2095.7,2085.4,2097.0,2084.4,2096.0
32,2015-02-15 22:00:00,5004,2094.7,2096.4,2086.5,2089.3,2094.2,2095.9,2085.8,2088.8,2094.4,2096.2,2086.2,2089.0
33,2015-02-16 22:00:00,20437,2085.1,2101.4,2083.6,2100.2,2084.4,2100.8,2083.0,2099.7,2084.8,2101.0,2083.4,2100.0
34,2015-02-17 22:00:00,16511,2099.9,2101.1,2091.4,2098.0,2099.4,2100.5,2090.7,2097.5,2099.6,2100.8,2091.0,2097.8
35,2015-02-18 22:00:00,15977,2098.3,2102.0,2089.9,2098.9,2097.6,2101.4,2089.4,2098.4,2098.0,2101.6,2089.6,2098.6
36,2015-02-19 22:00:00,26723,2098.6,2111.1,2084.8,2109.5,2098.1,2110.6,2084.3,2109.0,2098.4,2110.8,2084.6,2109.2
37,2015-02-22 22:00:00,13093,2109.8,2110.3,2102.1,2109.0,2109.3,2109.8,2101.6,2108.5,2109.6,2110.0,2101.8,2108.8
38,2015-02-23 22:00:00,16979,2109.1,2117.9,2105.0,2116.4,2108.4,2117.4,2104.5,2115.9,2108.8,2117.6,2104.8,2116.2
39,2015-02-24 22:00:00,12390,2116.1,2119.7,2109.6,2113.0,2115.6,2119.1,2109.1,2112.5,2115.8,2119.4,2109.4,2112.8
40,2015-02-25 22:00:00,12159,2112.7,2116.9,2103.6,2112.0,2112.2,2116.4,2103.1,2111.5,2112.4,2116.6,2103.4,2111.8
41,2015-02-26 22:00:00,10970,2111.7,2112.9,2103.1,2106.3,2111.2,2112.3,2102.6,2105.8,2111.4,2112.6,2102.8,2106.0
42,2015-03-01 22:00:00,8989,2106.1,2117.1,2102.3,2116.0,2105.6,2116.5,2101.8,2115.5,2105.8,2116.8,2102.0,2115.8
43,2015-03-02 22:00:00,9981,2116.3,2116.3,2097.2,2106.4,2115.8,2115.8,2096.7,2105.9,2116.0,2116.0,2097.0,2106.2
44,2015-03-03 22:00:00,16394,2106.6,2106.6,2086.9,2097.7,2105.9,2106.1,2086.3,2097.2,2106.2,2106.4,2086.6,2097.4
45,2015-03-04 22:00:00,14243,2097.4,2104.9,2094.8,2101.0,2096.9,2104.3,2094.2,2100.5,2097.2,2104.6,2094.6,2100.8
46,2015-03-05 22:00:00,23674,2101.0,2105.5,2066.8,2072.4,2100.3,2104.0,2066.3,2071.9,2100.6,2104.4,2066.6,2072.2
47,2015-03-08 22:00:00,10925,2075.0,2083.5,2067.3,2079.0,2074.5,2083.0,2066.7,2078.5,2074.8,2083.2,2067.0,2078.8
