idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2015-01-01 21:00:00,366,2058.3,2065.4,2058.3,2065.1,2057.8,2064.9,2057.8,2064.6,2058.0,2065.2,2058.0,2064.8
1,2015-01-02 01:00:00,537,2065.3,2069.7,2065.2,2069.6,2064.6,2069.2,2064.6,2069.1,2065.0,2069.4,2065.0,2069.4
2,2015-01-02 05:00:00,1465,2069.6,2073.5,2067.1,2067.1,2068.9,2072.9,2066.4,2066.6,2069.2,2073.2,2066.8,2066.8
3,2015-01-02 09:00:00,1063,2066.8,2068.2,2064.1,2067.4,2066.3,2067.6,2063.6,2066.9,2066.6,2067.8,2063.8,2067.2
4,2015-01-02 13:00:00,13330,2067.5,2072.7,2048.0,2052.9,2066.8,2072.1,2047.5,2052.4,2067.2,2072.4,2047.8,2052.6
5,2015-01-02 17:00:00,13860,2053.0,2062.0,2045.0,2056.6,2052.3,2061.5,2044.5,2056.1,2052.6,2061.8,2044.8,2056.4
6,2015-01-02 21:00:00,1706,2056.8,2057.1,2051.3,2052.8,2056.1,2056.6,2050.8,2052.3,2056.4,2056.8,2051.0,2052.6
7,2015-01-04 21:00:00,1361,2051.4,2051.4,2042.8,2044.9,2050.9,2050.9,2042.0,2044.2,2051.2,2051.2,2042.6,2044.6
8,2015-01-05 01:00:00,1402,2044.8,2053.7,2044.7,2053.5,2044.3,2053.1,2044.2,2052.8,2044.6,2053.4,2044.4,2053.2
9,2015-01-05 05:00:00,3305,2053.4,2054.4,2046.9,2053.7,2052.9,2053.9,2046.4,2053.2,2053.2,2054.2,2046.6,2053.4
10,2015-01-05 09:00:00,2067,2053.8,2053.9,2046.1,2047.7,2053.1,2053.4,2045.6,2047.2,2053.4,2053.6,2045.8,2047.4
11,2015-01-05 13:00:00,14062,2048.0,2049.6,2023.5,2029.3,2047.5,2049.1,2023.0,2028.8,2047.8,2049.4,2023.2,2029.0
12,2015-01-05 17:00:00,14528,2029.0,2030.1,2015.5,2020.0,2028.5,2029.5,2014.9,2019.5,2028.8,2029.8,2015.2,2019.8
13,2015-01-05 21:00:00,1121,2020.0,2026.3,2018.2,2021.8,2019.3,2025.7,2017.7,2021.3,2019.6,2026.0,2018.0,2021.6
14,2015-01-06 01:00:00,1348,2022.1,2024.5,2019.0,2020.0,2021.6,2024.0,2018.4,2019.5,2021.8,2024.2,2018.8,2019.8
15,2015-01-06 05:00:00,3290,2020.4,2025.3,2017.4,2018.5,2019.7,2024.7,2016.9,2018.0,2020.0,2025.0,2017.2,2018.2
16,2015-01-06 09:00:00,3233,2018.6,2028.3,2017.2,2024.5,2017.9,2027.7,2016.7,2024.0,2018.2,2028.0,2017.0,2024.2
17,2015-01-06 13:00:00,17487,2025.0,2029.5,2000.1,2001.7,2024.5,2029.0,1999.6,2001.2,2024.8,2029.2,1999.8,2001.4
18,2015-01-06 17:00:00,27519,2001.8,2015.7,1990.2,2000.2,2001.1,2015.2,1989.6,1999.7,2001.4,2015.4,1990.0,2000.0
19,2015-01-06 21:00:00,1377,2000.1,2004.4,1997.9,2004.1,1999.4,2003.9,1997.3,2003.6,1999.8,2004.2,1997.6,2003.8
