idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2014-12-28 22:00:00,58251,2092.1,2095.5,2045.0,2052.8,2091.5,2095.0,2044.5,2052.3,2091.8,2095.2,2044.8,2052.6
1,2015-01-04 22:00:00,201974,2051.4,2067.5,1990.2,2041.4,2050.9,2066.9,1989.6,2040.9,2051.2,2067.2,1990.0,2041.2
2,2015-01-11 22:00:00,298337,2041.5,2057.0,1975.4,2016.9,2041.0,2056.5,1974.8,2016.3,2041.2,2056.8,1975.2,2016.6
4,2015-01-18 22:00:00,172747,2018.5,2067.0,2002.3,2049.1,2017.7,2066.4,2001.8,2048.6,2018.1,2066.6,2002.0,2048.8
5,2015-01-25 22:00:00,213931,2039.7,2059.2,1986.2,1994.1,2039.0,2058.7,1985.7,1993.6,2039.4,2059.0,1986.0,1993.8
7,2015-02-01 22:00:00,194852,1995.0,2071.3,1977.6,2056.7,1994.3,2070.8,1977.1,2056.2,1994.6,2071.0,1977.4,2056.4
8,2015-02-08 22:00:00,192574,2051.2,2097.2,2039.7,2096.2,2050.7,2096.7,2039.2,2095.7,2051.0,2097.0,2039.4,2096.0
10,2015-02-15 22:00:00,84652,2094.7,2111.1,2083.6,2109.5,2094.2,2110.6,2083.0,2109.0,2094.4,2110.8,2083.4,2109.2
11,2015-02-22 22:00:00,65591,2109.8,2119.7,2102.1,2106.3,2109.3,2119.1,2101.6,2105.8,2109.6,2119.4,2101.8,2106.0
13,2015-03-01 22:00:00,73281,2106.1,2117.1,2066.8,2072.4,2105.6,2116.5,2066.3,2071.9,2105.8,2116.8,2066.6,2072.2
14,2015-03-08 22:00:00,87384,2075.0,2083.5,2039.4,2050.7,2074.5,2083.0,2038.7,2050.2,2074.8,2083.2,2039.0,2050.4
16,2015-03-15 22:00:00,134065,2052.0,2114.9,2045.2,2107.1,2051.3,2114.4,2044.7,2106.6,2051.6,2114.6,2045.0,2106.8
17,2015-03-22 22:00:00,131423,2106.7,2115.1,2040.9,2059.1,2106.2,2114.5,2040.4,2058.6,2106.4,2114.8,2040.6,2058.8
18,2015-03-29 21:00:00,125905,2059.9,2089.0,2040.7,2046.3,2059.4,2088.4,2039.6,2045.8,2059.6,2088.6,2040.4,2046.0
20,2015-04-05 21:00:00,91015,2050.0,2102.4,2045.6,2101.6,2049.5,2101.8,2045.0,2101.1,2049.8,2102.0,2045.4,2101.4
21,2015-04-12 21:00:00,102295,2101.6,2111.4,2070.1,2081.3,2101.1,2110.8,2069.5,2080.8,2101.4,2111.0,2069.8,2081.0
